,step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,account_age_days,is_new_device,shipping_billing_mismatch,failed_payment_attempts,ip_billing_distance_km,hour_of_day,is_night,amount_zero_flag,dest_is_merchant,log_amount,errorBalanceOrig,errorBalanceDest,orig_balance_delta,dest_balance_delta,amount_to_oldOrg_ratio,amount_to_oldDest_ratio,zero_dest_balance,ip_country_mismatch,tx_count_prev_orig,time_since_prev_orig,amount_mean_prev_orig,amount_vs_prev_mean_orig
ip_billing_distance_km,0.0009529644591274096,0.004011430824119909,0.0004614488618460337,0.0013365588121789158,0.0007471758956481646,0.00032314714169633395,0.001682108396021046,0.004439363735061152,0.0026127103458596,0.007786946911482259,1.0,0.0015812689403494984,0.003294370537095284,0.0015992092247467027,0.0005257671275902637,0.001837411643830426,0.00025228856915250495,0.002423022958173867,0.017562253011078166,0.0016637177508316502,0.00014537367095082178,0.0088939338315636,0.001228823186841625,0.7142405196862209,0.0004283515308124418,0.00043479516896408955,0.0002042335639918624,0.00045273909690985543
hour_of_day,0.061728784466527485,0.029676337872355282,0.001015024219412926,0.0008581454125241481,0.0015636270563941957,0.006697128490476088,0.0005124905924338521,0.0028605850545466143,0.0017854159565492758,0.0040576554921026705,0.0015812689403494984,1.0,0.45810900791305054,0.0004619425309693021,0.01111055780370174,0.05112068929220612,0.028843501485175893,0.003104583018375198,0.0028803054404028584,0.023730023652269495,0.004088334096412264,0.027743772342332572,0.0089252825505821,0.002634335632628701,0.0016051260034268859,0.0016005940773951785,0.0004694241031732458,0.0011065893613747726
is_night,0.0015505419452415054,0.008600388415936168,0.002849612166204509,0.004002498359181222,0.0080825788542054,0.009392429461060758,0.001533907817127056,0.004346962618621402,0.0031917858946107817,0.008729029471544258,0.003294370537095284,0.45810900791305054,1.0,0.0012905278844312722,0.059941095982873505,0.06625876986227247,0.014285892426324949,0.004170600894089095,0.02368419283564589,0.008653607361933989,0.002358402124663783,0.00117617569662841,0.05511126027038516,0.004813613307329225,0.00037058046662297357,0.0003434950464983074,0.00032754027374498547,0.0005044663020700725
amount_zero_flag,0.0032774153923360704,0.00047233135122616473,0.00045784035795674773,0.0004637477917210999,9.135036306856525e-05,0.0001381607131015326,0.0008028339853539204,0.0038975338679154477,0.00276165286561968,0.005913794012320116,0.0015992092247467027,0.0004619425309693021,0.0012905278844312722,1.0,0.0011334794437241255,0.009474310937917608,0.0005256538521100772,0.00019957303674031715,0.00022958416745599941,0.00024245843483457455,0.00022043416535882913,0.00023528673797952807,3.558242896164127e-05,0.003648052327512634,6.0665129789546274e-05,6.070900165273721e-05,0.00016340659063265062,2.1598957266176187e-05
dest_is_merchant,0.004926155718450389,0.19744374806089493,0.1894859341575041,0.19391471197063054,0.23145500958132645,0.2383150975956873,0.0011356481245468918,0.0020433101423442184,0.0012765786997491087,0.0033890055339694455,0.0005257671275902637,0.01111055780370174,0.059941095982873505,0.0011334794437241255,1.0,0.7358179734900858,0.22906550627160804,0.06881748792850331,0.13457596823728868,0.10928633383121708,0.09263706440833246,0.0563902746230818,0.9444067164999154,0.0017128241273660825,0.0001280721634412412,0.00010821348076872912,9.472414272710652e-05,0.009059523740659575
log_amount,0.0073770093981403795,0.38725963741163216,0.10698043164839059,0.11145271727101055,0.22778898748920023,0.26602252401215865,0.0014135604204135058,0.002896412823395724,0.0020625318257157864,0.005745460161562422,0.001837411643830426,0.05112068929220612,0.06625876986227247,0.009474310937917608,0.7358179734900858,1.0,0.4133477833778486,0.0696322945155068,0.11529817439821084,0.2498406869899843,0.21258817436759966,0.15120618726039134,0.6968191515365688,0.002907555339479575,0.00033234694366566066,0.00034181789620229685,0.00017472591539074948,0.01812533102185998
errorBalanceOrig,0.020516379286203475,0.9706597799179406,0.05050174730603397,0.056897436397074494,0.3042560440472983,0.45874964505808524,2.3714491758956242e-05,0.000995772182295652,0.0007323526169779604,0.0021543100339261726,0.00025228856915250495,0.028843501485175893,0.014285892426324949,0.0005256538521100772,0.22906550627160804,0.4133477833778486,1.0,0.1475404559270002,0.13986021847946836,0.8011476740069312,0.808789130333896,0.20964170908271745,0.2124901753862702,0.00017665990479438247,0.0005296083219268791,0.000526477402353609,0.00010509190755442201,0.04504758123597249
errorBalanceDest,0.028159346479564324,0.18992805355385026,0.1564642903455471,0.16316110103761503,0.025459669339166643,0.17494225139569433,0.0008499769838148703,0.004736127225959719,0.0022899200538525903,0.008012428390281622,0.002423022958173867,0.003104583018375198,0.004170600894089095,0.00019957303674031715,0.06881748792850331,0.0696322945155068,0.1475404559270002,1.0,0.17173737475630108,0.6842067263109591,0.15328644017029402,0.05819914684062912,0.04885781015015723,0.003609640297848336,0.00021274915726980203,0.00021158000293941125,2.940576199013005e-05,0.0068626497346234005
orig_balance_delta,0.007254652345981194,0.10233696813408108,0.22029683142651185,0.26775000310582425,0.0474603980430525,0.006451169604454858,0.009305880400735884,0.029517372378980836,0.02052179681716909,0.052745844083129725,0.017562253011078166,0.0028803054404028584,0.02368419283564589,0.00022958416745599941,0.13457596823728868,0.11529817439821084,0.13986021847946836,0.17173737475630108,1.0,0.1692919130506352,0.018738335900940532,0.26063226794654193,0.09043835485632908,0.025151663990054304,3.77018429568506e-05,3.80244113616126e-05,3.184176082610499e-05,0.00444669132571122
dest_balance_delta,0.0013247676728735443,0.8459636732021373,0.08703189482560085,0.09445628373706243,0.23231568174019357,0.43619098611617885,0.0011993139581813357,0.0020091326108646504,0.001911626752724638,0.0035552394715728155,0.0016637177508316502,0.023730023652269495,0.008653607361933989,0.00024245843483457455,0.10928633383121708,0.2498406869899843,0.8011476740069312,0.6842067263109591,0.1692919130506352,1.0,0.690187660431768,0.2350678097733814,0.11571956438034862,0.002444699566336705,0.00028646793627276504,0.000284824693786506,5.670927232459354e-05,0.03814587258159528
amount_to_oldOrg_ratio,0.013672735810255606,0.8170794460114417,0.04013350469634129,0.04058180017275713,0.3078269576321324,0.43750228159899135,6.511630524474931e-05,0.00048591395888236704,0.0003305015372373162,0.0013588144816339867,0.00014537367095082178,0.004088334096412264,0.002358402124663783,0.00022043416535882913,0.09263706440833246,0.21258817436759966,0.808789130333896,0.15328644017029402,0.018738335900940532,0.690187660431768,1.0,0.007688823131249968,0.09852293442060434,0.00021580922789968225,0.0005193367329892961,0.000504573468405931,0.00013710308450443033,0.03917754237494215
amount_to_oldDest_ratio,0.01790032197888137,0.27390404402534935,0.022607717372438847,0.03540178840624234,0.04804500410748714,0.007561570977446156,0.005023312405487124,0.01507721022410565,0.009691554497534496,0.025582668542256014,0.0088939338315636,0.027743772342332572,0.00117617569662841,0.00023528673797952807,0.0563902746230818,0.15120618726039134,0.20964170908271745,0.05819914684062912,0.26063226794654193,0.2350678097733814,0.007688823131249968,1.0,0.003298474040643204,0.012669504290326941,0.00019888976908529247,0.000196720105949791,0.0001474010029503103,0.00862749702766478
zero_dest_balance,0.008834873656163629,0.19151032323030304,0.19983887559397953,0.2019273432729727,0.24507980040547525,0.2523437131821602,5.471519369223172e-05,0.001021798205413207,0.0006990829786219769,0.001874716980392996,0.001228823186841625,0.0089252825505821,0.05511126027038516,3.558242896164127e-05,0.9444067164999154,0.6968191515365688,0.2124901753862702,0.04885781015015723,0.09043835485632908,0.11571956438034862,0.09852293442060434,0.003298474040643204,1.0,0.0007026590110104524,0.00015953847820769404,0.00014253340020379637,9.085706036406386e-05,0.008843197427044397
ip_country_mismatch,0.0016994933391304501,0.005930451336069499,0.00011164083465252848,0.0013716490977329877,0.0005264618563896881,5.38503546240835e-05,0.0018646025340272056,0.0059085301661925636,0.0036111678840106765,0.010202620498065865,0.7142405196862209,0.002634335632628701,0.004813613307329225,0.003648052327512634,0.0017128241273660825,0.002907555339479575,0.00017665990479438247,0.003609640297848336,0.025151663990054304,0.002444699566336705,0.00021580922789968225,0.012669504290326941,0.0007026590110104524,1.0,0.0002983299461556257,0.0002932387705268714,0.0003937447227216063,0.0011746096748081164
tx_count_prev_orig,0.02070470063311905,0.0005412128829596999,0.00014738901275952395,0.0001474749676383217,0.0011069575786141882,0.0010875037950413625,0.00023916537005693928,5.260859548899946e-05,0.00040922760099290753,0.0003037271895607999,0.0004283515308124418,0.0016051260034268859,0.00037058046662297357,6.0665129789546274e-05,0.0001280721634412412,0.00033234694366566066,0.0005296083219268791,0.00021274915726980203,3.77018429568506e-05,0.00028646793627276504,0.0005193367329892961,0.00019888976908529247,0.00015953847820769404,0.0002983299461556257,1.0,0.9991294343132548,0.00012843900831121187,0.0003321983244326268
time_since_prev_orig,0.02045760073591844,0.0005381458198439872,0.00014768215474279337,0.0001477806970663307,0.0011148315960873053,0.0010944249858781455,0.0002540084733317585,5.0467525901187625e-05,0.00043334759420096854,0.0002997037319558303,0.00043479516896408955,0.0016005940773951785,0.0003434950464983074,6.070900165273721e-05,0.00010821348076872912,0.00034181789620229685,0.000526477402353609,0.00021158000293941125,3.80244113616126e-05,0.000284824693786506,0.000504573468405931,0.000196720105949791,0.00014253340020379637,0.0002932387705268714,0.9991294343132548,1.0,0.00011203803670476771,0.00033768061554933213
amount_mean_prev_orig,0.00021873246442103913,9.784527318058268e-05,0.00018029785224546216,0.00017968694111488467,0.00016697666791329801,0.00016702869232532603,0.00021207691168125393,0.00013878680152410746,0.0002666790370581458,0.0003335788268080623,0.0002042335639918624,0.0004694241031732458,0.00032754027374498547,0.00016340659063265062,9.472414272710652e-05,0.00017472591539074948,0.00010509190755442201,2.940576199013005e-05,3.184176082610499e-05,5.670927232459354e-05,0.00013710308450443033,0.0001474010029503103,9.085706036406386e-05,0.0003937447227216063,0.00012843900831121187,0.00011203803670476771,1.0,0.003956302023239598
amount_vs_prev_mean_orig,0.0011016339728094013,0.046335732225108194,0.00032872376016975056,0.0005477034393031702,0.013945145003152762,0.021341746957176805,0.00046230426756552483,9.798697395437122e-05,0.00019245516240865555,0.0004993179554171093,0.00045273909690985543,0.0011065893613747726,0.0005044663020700725,2.1598957266176187e-05,0.009059523740659575,0.01812533102185998,0.04504758123597249,0.0068626497346234005,0.00444669132571122,0.03814587258159528,0.03917754237494215,0.00862749702766478,0.008843197427044397,0.0011746096748081164,0.0003321983244326268,0.00033768061554933213,0.003956302023239598,1.0
